Epoch,Train Accuracy,Validation Accuracy
1,0.21996666666666667,0.2078
2,0.19692222222222222,0.20411111111111113
3,0.20096666666666668,0.1883888888888889
4,0.20154444444444444,0.20162222222222223
5,0.20275555555555558,0.2119888888888889
6,0.2023777777777778,0.20872222222222223
7,0.20294444444444446,0.19442222222222222
8,0.20893333333333333,0.21135555555555557
9,0.20786666666666667,0.20754444444444445
10,0.2096777777777778,0.21375555555555556
11,0.20856666666666668,0.20320000000000002
12,0.20595555555555556,0.2001
13,0.20666666666666667,0.20550000000000002
14,0.20657777777777778,0.2031
15,0.2053888888888889,0.20712222222222224
16,0.20394444444444446,0.20264444444444446
17,0.20347777777777779,0.19692222222222222
18,0.20213333333333333,0.2000111111111111
19,0.2023888888888889,0.19584444444444446
20,0.2028,0.19143333333333334
